card question|card answer
¿Cuál es la capital de Francia?|La capital de Francia es París.
¿Cuántos continentes hay en el mundo?|Hay 7 continentes en el mundo.
¿Cuál es el río más largo del mundo?|El río más largo del mundo es el río Amazonas.
¿Quién pintó la Mona Lisa?|La Mona Lisa fue pintada por Leonardo da Vinci.
¿Cuál es la fórmula química del agua?|La fórmula química del agua es H2O.
¿Cuál es el planeta más grande del sistema solar?|El planeta más grande del sistema solar es Júpiter.
¿Cuántos huesos tiene el cuerpo humano?|El cuerpo humano tiene 206 huesos.
¿Quién escribió "Don Quijote de la Mancha"?|"Don Quijote de la Mancha" fue escrito por Miguel de Cervantes.
¿Cuál es el océano más grande del mundo?|El océano más grande del mundo es el océano Pacífico.
¿Cuál es el animal terrestre más grande?|El animal terrestre más grande es el elefante africano.
¿Cuál es la montaña más alta del mundo?|La montaña más alta del mundo es el Monte Everest.
¿Quién descubrió América?|América fue descubierta por Cristóbal Colón.
¿Cuál es la moneda oficial de Japón?|La moneda oficial de Japón es el yen.
¿Cuál es la fórmula química del oxígeno?|La fórmula química del oxígeno es O2.
¿Cuál es el país más poblado del mundo?|El país más poblado del mundo es China.
¿Quién escribió "Romeo y Julieta"?|"Romeo y Julieta" fue escrita por William Shakespeare.
¿Cuál es la fecha de la independencia de Estados Unidos?|La independencia de Estados Unidos se celebra el 4 de julio.
¿Cuántos dientes tiene un adulto?|Un adulto tiene normalmente 32 dientes.
¿Cuál es la capital de España?|La capital de España es Madrid.
¿Quién fue el primer hombre en pisar la Luna?|El primer hombre en pisar la Luna fue Neil Armstrong.
¿Cuántas patas tiene una araña?|La mayoría de las arañas tienen 8 patas.
¿Cuál es la fórmula química del dióxido de carbono?|La fórmula química del dióxido de carbono es CO2.
¿Cuál es el país más grande del mundo?|El país más grande del mundo es Rusia.
¿Quién pintó "La noche estrellada"?|La obra "La noche estrellada" fue pintada por Vincent van Gogh.
¿Cuántos colores tiene el arcoíris?|El arcoíris tiene 7 colores: rojo, naranja, amarillo, verde, azul, añil y violeta.
¿Cuál es la capital de Italia?|La capital de Italia es Roma.
¿Quién escribió "1984"?|"1984" fue escrito por George Orwell.
¿Cuál es el metal más precioso?|El metal más precioso es el oro.
¿Cuántos planetas hay en el sistema solar?|En el sistema solar hay 8 planetas.
¿Cuál es el idioma más hablado del mundo?|El idioma más hablado del mundo es el chino mandarín.
¿Cuántos años tiene un siglo?|Un siglo tiene 100 años.
¿Cuál es la capital de Canadá?|La capital de Canadá es Ottawa.
¿Quién escribió "Orgullo y prejuicio"?|"Orgullo y prejuicio" fue escrito por Jane Austen.
¿Cuál es el número atómico del hidrógeno?|El hidrógeno tiene un número atómico de 1.
¿Cuál es el país más pequeño del mundo?|El país más pequeño del mundo es el Vaticano.
¿Cuántos jugadores hay en un equipo de fútbol?|Un equipo de fútbol tiene 11 jugadores.
¿Cuál es la capital de Australia?|La capital de Australia es Canberra.
¿Quién pintó "La última cena"?|"La última cena" fue pintada por Leonardo da Vinci.
¿Cuántas estrellas tiene la bandera de Estados Unidos?|La bandera de Estados Unidos tiene 50 estrellas.
¿Cuál es el gas más abundante en la atmósfera terrestre?|El gas más abundante en la atmósfera terrestre es el nitrógeno.
¿Cuál es el país con forma de bota?|El país con forma de bota es Italia.
¿Cuántas cuerdas tiene una guitarra clásica?|Una guitarra clásica tiene 6 cuerdas.
¿Cuál es el idioma oficial de Brasil?|El idioma oficial de Brasil es el portugués.
¿Cuántos elementos químicos hay en la tabla periódica?|En la tabla periódica hay 118 elementos químicos.
¿Cuál es el animal más rápido del mundo?|El animal más rápido del mundo es el guepardo.
¿Quién escribió "Cien años de soledad"?|"Cien años de soledad" fue escrito por Gabriel García Márquez.
¿Cuál es el instrumento musical más grande?|El instrumento musical más grande es el órgano.
¿Cuántos lados tiene un triángulo?|Un triángulo tiene 3 lados.
¿Cuál es la capital de México?|La capital de México es Ciudad de México.
¿Quién pintó "La persistencia de la memoria"?|"La persistencia de la memoria" fue pintada por Salvador Dalí.
¿Cuántos huesos tiene un recién nacido?|Un recién nacido tiene alrededor de 300 huesos.
